"","params","mean","lo90","hi90","ess","rhat"
"beta1","beta1",-0.231760328454637,-0.934197350333851,0.419887285805613,1612.72085796036,1.00465272664898
"beta2","beta2",-0.728093144821468,-1.93621554374067,0.592746709249898,11135.6634567604,1.00249719857712
"eta[1]","eta[1]",0.705183478854252,-1.037827957499,2.55720013485366,2162.70746753329,1.00348568245192
"eta[2]","eta[2]",0.397847849044855,-1.47402685586187,2.36621905567008,2266.42677117573,1.00431352346253
"eta[3]","eta[3]",0.646835054615147,-0.982942258261256,2.42137031753961,2051.26736604552,1.00384326824271
"eta[4]","eta[4]",0.344200256753464,-1.79129244306883,2.50883792327259,2384.95246061647,1.00351738143202
"eta[5]","eta[5]",0.0990671762711036,-1.5229777143599,1.82441640962579,2074.51086801937,1.00541324228162
"eta[6]","eta[6]",0.566141118290053,-1.17053628669719,2.57272685033159,2501.91895156994,1.00403150070806
"eta[7]","eta[7]",0.185810226300971,-1.77297332762833,2.03968214460392,2282.38753057362,1.00462694719196
"eta[8]","eta[8]",0.404755616129366,-1.24833586026562,2.19682565367817,2171.5633017996,1.00504883703285
"eta[9]","eta[9]",-0.0137660062906453,-1.83562758278495,1.75965408411719,2383.25721223532,1.00562541578948
"eta[10]","eta[10]",0.651674459396191,-0.89011647155173,2.29465459560761,1895.15353687472,1.00456630517086
"eta[11]","eta[11]",0.449983602838104,-1.23368773317187,2.18562271299588,2061.66683222616,1.0045603908888
"eta[12]","eta[12]",0.875993435974341,-0.543706112321851,2.44397078499324,1759.58602658894,1.00430907302067
"eta[13]","eta[13]",0.430194008352201,-1.39597015603961,2.41228322536916,2554.07343457291,1.0031357136863
"eta[14]","eta[14]",1.26528442118309,-0.392687558336508,3.00747435360366,1815.98017171285,1.00320653604547
"eta[15]","eta[15]",0.848346165589966,-0.810085565275856,2.60110084091441,2114.33303424483,1.00266724397988
"eta[16]","eta[16]",1.08755058449688,-0.589828477369927,2.78917004032477,1945.8567008402,1.00323010998177
"eta[17]","eta[17]",0.974962608698682,-0.57059609850812,2.71475223592455,1924.64812637778,1.00353348853304
"eta[18]","eta[18]",0.662131924297962,-1.06627825692618,2.58770120855345,2515.03260831918,1.00300807750101
"eta[19]","eta[19]",0.699686827081817,-0.746012733297845,2.33632653893099,1836.62655364152,1.00405408999187
"eta[20]","eta[20]",0.617632933523809,-1.1489503570861,2.50144856971711,3085.82743717559,1.00345968614898
"eta[21]","eta[21]",0.174153691253412,-1.38215792802526,1.79367564572622,1996.19523300326,1.00519351117488
"eta[22]","eta[22]",0.605970930728449,-0.812347989285115,2.10408922641453,1878.34543322158,1.00385068863967
"eta[23]","eta[23]",0.359621327224682,-1.07769462263465,1.83371481023275,1794.09755701463,1.00446257006239
"eta[24]","eta[24]",0.616534888222689,-0.652519250589213,2.07723765030989,1883.29866994147,1.00462445791931
"eta[25]","eta[25]",0.465424754784787,-1.1539891709129,2.08292550233044,2150.09805486712,1.00358180369881
"eta[26]","eta[26]",0.756249277141767,-0.56797120742196,2.27065031265874,1774.75007419709,1.00409552931678
"eta[27]","eta[27]",0.623044240607564,-0.696361317905486,2.07480135298658,2884.84144447675,1.00313325710499
"eta[28]","eta[28]",-0.12779755273757,-1.28396420867293,1.03058420967347,16329.7835973898,1.00085897548041
"eta[29]","eta[29]",-0.355232773876875,-1.84154090119096,1.01151202045227,15149.7746568925,1.00069302117277
"eta[30]","eta[30]",0.448789652216116,-0.961252740551821,1.93409467091392,1866.974345631,1.00437532199797
"eta[31]","eta[31]",0.801637383701596,-0.460659924020618,2.22266679204757,1953.32926375478,1.00404472593696
"eta[32]","eta[32]",0.703278905329612,-0.368955095224134,1.82984287233907,3491.21703794646,1.00102222496831
"eta[33]","eta[33]",0.103901456389408,-0.849799471871955,0.962111970695852,19768.9847617197,1.0009351174121
"eta[34]","eta[34]",-0.435126131648028,-1.37656386302732,0.513289707907251,8226.80065203931,1.00251075620953
"eta[35]","eta[35]",0.563070453501978,-1.09148447961939,2.35835103378852,2585.19009166138,1.00273267620604
"eta[36]","eta[36]",0.543131155563999,-0.754445236265098,1.94259851371147,1692.18282823515,1.00443027956404
"eta[37]","eta[37]",0.372923127897336,-0.726100503679623,1.47420823959135,2255.75289889323,1.00348543964095
"eta[38]","eta[38]",0.490175188001153,-0.243620279969421,1.18520664952369,8265.58625556973,1.00145137666048
"eta[39]","eta[39]",-0.0355254255566656,-0.660645716470027,0.563807543428174,12994.7429160626,1.0008551717531
"eta[40]","eta[40]",-0.264067032207937,-1.20247080282963,0.661067721846601,11773.5149540089,1.00083952613658
"eta[41]","eta[41]",-0.264240751113056,-2.01979412928097,1.41442021172232,18482.1466972729,1.00062032860626
"eta[42]","eta[42]",0.775886145126057,-0.692687465751162,2.33069219956511,1871.5163215389,1.00311952736779
"eta[43]","eta[43]",0.660743996124256,-0.580587434625557,2.01683664484619,1942.22676380271,1.00388913329533
"eta[44]","eta[44]",0.361832714064892,-0.417809997041558,1.14791002110312,3641.00239541232,1.002797139096
"eta[45]","eta[45]",0.216666776848482,-0.298899488535634,0.715111584507372,15875.9605172204,1.00111028863238
"eta[46]","eta[46]",0.14558075716134,-0.508493616760952,0.763234548350337,18255.762388314,0.99986524526558
"eta[47]","eta[47]",-0.211205500537251,-1.4292464058419,0.902643235205162,16430.6372809831,1.00052863446664
