"Model","WAIC.a","dWAIC1.a","dWAIC2.a","WAICweight.a","WAIC.b","dWAIC1.b","dWAIC2.b","WAICweight.b"
"0",6353.50659628928,0.784766502947605,0.243352545298876,0.206185383567062,6350.58318639316,0,-1.46899847107215,0.464889142269425
"1",6352.72182978633,0,-0.541413957648729,0.305258493032608,6353.02049152544,2.43730513228093,0.968306661208771,0.137434358075517
"2",6353.26324374398,0.541413957648729,0,0.232863386361639,6352.05218486423,1.46899847107215,0,0.223028538343575
"3",6353.07619470261,0.354364916282975,-0.187049041365754,0.255692737038691,6352.54123974366,1.95805335050591,0.489054879433752,0.174647961311483
