"","params","mean","lo90","hi90","ess","rhat"
"beta1","beta1",-0.00000500660456072236,-0.0000102411238176781,-0.000000061094593923506,11132.5085717294,1.00069453440261
"s1[1]","s1[1]",-0.000441169997486589,-0.00217882655933556,0.00119843039860601,11469.3974190556,1.00000036481361
"s1[2]","s1[2]",-0.000359958069719876,-0.00196605500711794,0.00118099084636882,15768.9574275865,0.999904864298603
"s1[3]","s1[3]",-0.000340025680901001,-0.00191165327251418,0.00117080529093432,12389.3943695386,1.00016820349915
"s1[4]","s1[4]",-0.000581994466244325,-0.00227738854311657,0.00112867926001463,12074.1367808719,1.00008843978887
"s1[5]","s1[5]",-0.00069165985993166,-0.00196651390610522,0.000547541998091002,6501.67791750547,0.999914178004481
"s1[6]","s1[6]",-0.000161193207477836,-0.00205356643999652,0.00166269604644443,17981.4566254681,0.999922198916377
"s1[7]","s1[7]",-0.000460874293853103,-0.00173390101040451,0.000802519127533454,9991.33936456856,1.0001176839232
"s1[8]","s1[8]",-0.000252046516075414,-0.00167341225537692,0.00117570650924744,11844.2601546418,1.00078122614445
"s1[9]","s1[9]",-0.000484758729452116,-0.00189594723337499,0.000880624766481218,9827.22949626456,0.999917467032888
"s1[10]","s1[10]",0.0000965480825927554,-0.00118559094819758,0.00136910546155908,16993.6151452713,1.00027555593746
"s1[11]","s1[11]",0.0000848824124473773,-0.00130160147893599,0.00141222213032984,16776.5667323331,1.00040657942331
"s1[12]","s1[12]",0.000688879482339207,-0.000557124239526169,0.00205905552784178,15459.875777599,1.00125725063359
"s1[13]","s1[13]",0.0000811731845998518,-0.00183029833672625,0.001825240176257,17770.173146177,1.00008158507338
"s1[14]","s1[14]",0.000870994484926813,-0.000439630817443044,0.00233588507534762,11816.5897091415,1.00062395653773
"s1[15]","s1[15]",0.000635677896520684,-0.000791896316362001,0.00214247153618157,16200.4701410769,0.999954801990138
"s1[16]","s1[16]",0.000941763500301068,-0.000632330780802483,0.00247883715833125,13363.0048031124,1.00095403738187
"s1[17]","s1[17]",0.000871901790118737,-0.000438710598899532,0.00214830788336894,14187.126320163,1.00048139244184
"s1[18]","s1[18]",0.000718490155790174,-0.00109474108573139,0.00253491597296612,17605.3026418302,1.0002144398
"s1[19]","s1[19]",0.000577874637588668,-0.000547188864271704,0.00178075888011119,18473.4094193457,1.00037413178255
"s1[20]","s1[20]",0.000838059750455863,-0.00111360423482006,0.00295491812423441,19807.1641306058,1.00019650029638
"s1[21]","s1[21]",0.000625469526035717,-0.000455804731829486,0.00178373470525376,18208.3235632569,0.999984066323563
"s1[22]","s1[22]",0.00072770596390304,-0.000421581480874285,0.00187245969880746,19675.7268141904,0.999995608739052
"s1[23]","s1[23]",0.000532292065016891,-0.000500315090107432,0.00147784396240052,17631.8304249207,1.00022304572203
"s1[24]","s1[24]",0.000919743601170182,-0.000264388573086386,0.00212084058280122,18380.2306782457,0.999881352020265
"s1[25]","s1[25]",0.000919366101031568,-0.00048508455783875,0.00231313122178136,16915.9429360087,0.999961347541478
"s1[26]","s1[26]",0.000904143130389258,-0.000115026509238719,0.00191163857537721,18233.4626087093,1.00039158971334
"s1[27]","s1[27]",0.00108547876468204,-0.00041880943077227,0.0026459384805074,18290.0541481392,1.00035470421087
"s1[28]","s1[28]",0.000403987573351308,-0.00144687026169837,0.00226083275451524,17283.5063067069,1.00025469906996
"s1[29]","s1[29]",-0.000042435557411972,-0.00243980446897584,0.00215383337907246,14127.4300385877,1.0004414780669
"s1[30]","s1[30]",0.0012287406438584,0.000159894411341766,0.00236218606453258,10900.9831566672,1.00084211215943
"s1[31]","s1[31]",0.00125275997179059,0.0000568538330933724,0.00244465315692877,12881.6512523998,1.00059817005783
"s1[32]","s1[32]",0.00123943879485446,-0.000224736985411566,0.00281547146532514,14583.1508576083,1.00013247937648
"s1[33]","s1[33]",0.000830722220605056,-0.000726284238332703,0.00231423599730192,18496.9978984631,1.00013959051772
"s1[34]","s1[34]",-0.000211670838306696,-0.00192922405520655,0.00139239552429922,8778.53070611214,1.00003736448583
"s1[35]","s1[35]",0.0011869014500442,-0.000491765967520914,0.00302908598730543,16329.1194332693,1.00005772070837
"s1[36]","s1[36]",0.00109168386027323,0.000228407985704015,0.00194486850663128,12357.9594023712,1.00063863425768
"s1[37]","s1[37]",0.00094240735903064,-0.000160946348509237,0.00211189789646276,17902.7723129602,1.00011106512094
"s1[38]","s1[38]",0.000993256072309039,-0.000267572562730967,0.00227035740688214,17175.6335889917,1.00032646115251
"s1[39]","s1[39]",0.000588259709361197,-0.000608012359347757,0.00176933404255913,16164.1651161173,1.00000322718099
"s1[40]","s1[40]",0.00010898092191594,-0.00156168128398153,0.00166752724697649,13500.1405961477,1.00014004923178
"s1[41]","s1[41]",-0.000300518245600025,-0.00317045938657146,0.00242119986404408,14003.2550281171,1.00005260208227
"s1[42]","s1[42]",0.00140920093117873,0.000110700095857588,0.00284523223427827,11130.2340244001,1.00016362141757
"s1[43]","s1[43]",0.000968160537855175,-0.000194892327773543,0.00203517755367033,19085.2396087057,1.00010403330019
"s1[44]","s1[44]",0.00102162032059395,-0.000166373245009257,0.00216810591993471,16600.8319466951,1.00041011374987
"s1[45]","s1[45]",0.00120331449432804,0.0000278170530485114,0.00236661502239111,12693.5255530642,1.00055033777805
"s1[46]","s1[46]",0.000332515256686556,-0.000962441959989353,0.00162300857109761,14165.119916753,1.00015048055788
"s1[47]","s1[47]",-0.000217719403520915,-0.00227730047217564,0.00177483048815874,11348.1843589501,1.00032161454258
"s1[48]","s1[48]",0.00148762133919573,-0.0000195928174823845,0.00306454412564089,12561.2259429048,1.00115581807615
"s1[49]","s1[49]",0.00170730265970764,0.000166479206321792,0.00324393938927881,8412.25117218242,1.00078074473891
